"downloaded","language","form","form_type","data_id","child_id","age","measure","vocab","n","first_administration","is_norming","monolingual","typically_developing"
2022-11-05,"English (American)","WS","WS",253028,84620,17,"production",14,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253029,84621,17,"production",79,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253032,84624,17,"production",21,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253033,84625,17,"production",27,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253038,84630,17,"production",15,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253043,84635,17,"production",22,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253054,84646,17,"production",14,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253087,84679,17,"production",33,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253094,84686,17,"production",79,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253097,84689,17,"production",11,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253101,84693,17,"production",38,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253102,84694,17,"production",21,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253104,84696,17,"production",10,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253112,84704,17,"production",127,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253114,84706,17,"production",21,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253115,84707,17,"production",74,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253122,84714,17,"production",51,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253132,84724,17,"production",8,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253135,84727,17,"production",16,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253151,84743,17,"production",10,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253154,84746,17,"production",20,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253157,84749,17,"production",10,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253160,84752,17,"production",142,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253171,84763,17,"production",114,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253179,84771,17,"production",2,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253181,84773,17,"production",18,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253183,84775,17,"production",56,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253184,84776,17,"production",37,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253187,84779,17,"production",66,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253190,84782,17,"production",21,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253256,84848,17,"production",141,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253259,84851,17,"production",34,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253264,84856,17,"production",211,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253270,84862,17,"production",56,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253273,84865,17,"production",13,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253277,84869,17,"production",15,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253283,84875,17,"production",8,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253285,84877,17,"production",108,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253296,84888,17,"production",17,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253539,85131,17,"production",55,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253548,85140,17,"production",21,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253720,85312,17,"production",53,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253752,85344,17,"production",46,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253757,85349,17,"production",641,3625,TRUE,TRUE,TRUE,TRUE
